challenge_id,challenge_family_id,label,language,source,data_origin,label_provenance,length_bucket,token_count,subject,body,original_text,content_hash,template_hash,ml_prediction,ml_confidence,class_probabilities_json,detected_language,security_finding_codes,security_finding_descriptions,risk_score,risk_level,recommended_action,prediction_correct,security_signal_present_on_ml_miss,ml_normal_with_promotional_signal,error_taxonomy
challenge_en_normal_01_very_short,en_normal_01,normal,en,controlled_short_form_challenge,synthetic_challenge,scenario_definition,very_short,9,Meeting update,The project meeting moved to 3 PM.,"Meeting update
The project meeting moved to 3 PM.",f6cf2272e7380f1ba66c8198fb159594611f3f020cf69208ef8a69ca4d78824b,f6cf2272e7380f1ba66c8198fb159594611f3f020cf69208ef8a69ca4d78824b,normal,0.9996472319,"{""normal"": 0.9996472318591706, ""phishing"": 0.00034454985177371556, ""spam"": 8.218289055634868e-06}",en,,,0,LOW,ALLOW,true,false,false,
challenge_en_normal_01_short,en_normal_01,normal,en,controlled_short_form_challenge,synthetic_challenge,scenario_definition,short,70,Meeting update,"The project meeting moved to 3 PM. This message follows our existing conversation and does not request a password, payment, or account action. Please read it when convenient and reply only if the schedule or factual details need correction. The referenced material remains in the usual shared location used by the team. This message follows our existing conversation and does not request a password, payment, or account action.","Meeting update
The project meeting moved to 3 PM. This message follows our existing conversation and does not request a password, payment, or account action. Please read it when convenient and reply only if the schedule or factual details need correction. The referenced material remains in the usual shared location used by the team. This message follows our existing conversation and does not request a password, payment, or account action.",36750b7ea55e716ceca8025782a1bce607d044c204ff3732a143ab85ade4ec1f,36750b7ea55e716ceca8025782a1bce607d044c204ff3732a143ab85ade4ec1f,normal,0.7583103772,"{""normal"": 0.7583103772095886, ""phishing"": 0.2416426930887884, ""spam"": 4.692970162301848e-05}",en,,,11,LOW,ALLOW,true,false,false,
challenge_en_normal_01_normal_length,en_normal_01,normal,en,controlled_short_form_challenge,synthetic_challenge,scenario_definition,normal_length,175,Meeting update,"The project meeting moved to 3 PM. This message follows our existing conversation and does not request a password, payment, or account action. Please read it when convenient and reply only if the schedule or factual details need correction. The referenced material remains in the usual shared location used by the team. No external sign-in page is needed, and there is no deadline beyond the ordinary project schedule. The sender is providing routine operational context so recipients can keep their records current. This message follows our existing conversation and does not request a password, payment, or account action. Please read it when convenient and reply only if the schedule or factual details need correction. The referenced material remains in the usual shared location used by the team. No external sign-in page is needed, and there is no deadline beyond the ordinary project schedule. The sender is providing routine operational context so recipients can keep their records current. This message follows our existing conversation and does not request a password, payment, or account action.","Meeting update
The project meeting moved to 3 PM. This message follows our existing conversation and does not request a password, payment, or account action. Please read it when convenient and reply only if the schedule or factual details need correction. The referenced material remains in the usual shared location used by the team. No external sign-in page is needed, and there is no deadline beyond the ordinary project schedule. The sender is providing routine operational context so recipients can keep their records current. This message follows our existing conversation and does not request a password, payment, or account action. Please read it when convenient and reply only if the schedule or factual details need correction. The referenced material remains in the usual shared location used by the team. No external sign-in page is needed, and there is no deadline beyond the ordinary project schedule. The sender is providing routine operational context so recipients can keep their records current. This message follows our existing conversation and does not request a password, payment, or account action.",1e335fcbede217b7aa2da8abe5f5d83b4e33ef83fb0b6d876e9c278690c4d737,1e335fcbede217b7aa2da8abe5f5d83b4e33ef83fb0b6d876e9c278690c4d737,normal,0.6686654835,"{""normal"": 0.6686654834903437, ""phishing"": 0.33118578834006007, ""spam"": 0.00014872816959609703}",en,,,15,LOW,ALLOW,true,false,false,
challenge_en_normal_02_very_short,en_normal_02,normal,en,controlled_short_form_challenge,synthetic_challenge,scenario_definition,very_short,10,Receipt available,Your requested receipt is attached for your records.,"Receipt available
Your requested receipt is attached for your records.",2807885b1f35de953cfb31da86a3969bad2c47b22d152192544ba9c7ec499ff3,2807885b1f35de953cfb31da86a3969bad2c47b22d152192544ba9c7ec499ff3,normal,0.9464991212,"{""normal"": 0.9464991212062978, ""phishing"": 0.05266210787877875, ""spam"": 0.0008387709149234912}",en,,,2,LOW,ALLOW,true,false,false,
challenge_en_normal_02_short,en_normal_02,normal,en,controlled_short_form_challenge,synthetic_challenge,scenario_definition,short,71,Receipt available,"Your requested receipt is attached for your records. This message follows our existing conversation and does not request a password, payment, or account action. Please read it when convenient and reply only if the schedule or factual details need correction. The referenced material remains in the usual shared location used by the team. This message follows our existing conversation and does not request a password, payment, or account action.","Receipt available
Your requested receipt is attached for your records. This message follows our existing conversation and does not request a password, payment, or account action. Please read it when convenient and reply only if the schedule or factual details need correction. The referenced material remains in the usual shared location used by the team. This message follows our existing conversation and does not request a password, payment, or account action.",b6462071b81e58d23c55c7af5f9ec2a4fe924a8671996f27511f2b12b87cec2f,b6462071b81e58d23c55c7af5f9ec2a4fe924a8671996f27511f2b12b87cec2f,phishing,0.6892823462,"{""normal"": 0.31046760390126743, ""phishing"": 0.6892823461935386, ""spam"": 0.0002500499051940211}",en,,,43,MEDIUM,QUARANTINE,false,false,false,normal false positive
challenge_en_normal_02_normal_length,en_normal_02,normal,en,controlled_short_form_challenge,synthetic_challenge,scenario_definition,normal_length,176,Receipt available,"Your requested receipt is attached for your records. This message follows our existing conversation and does not request a password, payment, or account action. Please read it when convenient and reply only if the schedule or factual details need correction. The referenced material remains in the usual shared location used by the team. No external sign-in page is needed, and there is no deadline beyond the ordinary project schedule. The sender is providing routine operational context so recipients can keep their records current. This message follows our existing conversation and does not request a password, payment, or account action. Please read it when convenient and reply only if the schedule or factual details need correction. The referenced material remains in the usual shared location used by the team. No external sign-in page is needed, and there is no deadline beyond the ordinary project schedule. The sender is providing routine operational context so recipients can keep their records current. This message follows our existing conversation and does not request a password, payment, or account action.","Receipt available
Your requested receipt is attached for your records. This message follows our existing conversation and does not request a password, payment, or account action. Please read it when convenient and reply only if the schedule or factual details need correction. The referenced material remains in the usual shared location used by the team. No external sign-in page is needed, and there is no deadline beyond the ordinary project schedule. The sender is providing routine operational context so recipients can keep their records current. This message follows our existing conversation and does not request a password, payment, or account action. Please read it when convenient and reply only if the schedule or factual details need correction. The referenced material remains in the usual shared location used by the team. No external sign-in page is needed, and there is no deadline beyond the ordinary project schedule. The sender is providing routine operational context so recipients can keep their records current. This message follows our existing conversation and does not request a password, payment, or account action.",603a874929ab212bccb5e23ca3bf24a4ef4bc466c6b400908d59eb7ff043a58a,603a874929ab212bccb5e23ca3bf24a4ef4bc466c6b400908d59eb7ff043a58a,phishing,0.5978538737,"{""normal"": 0.40181002692322165, ""phishing"": 0.5978538736853458, ""spam"": 0.0003360993914325593}",en,,,39,MEDIUM,QUARANTINE,false,false,false,normal false positive
challenge_en_normal_03_very_short,en_normal_03,normal,en,controlled_short_form_challenge,synthetic_challenge,scenario_definition,very_short,10,Class schedule,Tomorrow's lecture starts in room B204 at nine.,"Class schedule
Tomorrow's lecture starts in room B204 at nine.",99881e568462eba278c52d06663ce54c6f0e7c635a9ec6d1a1c46a19e374298c,99881e568462eba278c52d06663ce54c6f0e7c635a9ec6d1a1c46a19e374298c,normal,0.9993681043,"{""normal"": 0.9993681042585173, ""phishing"": 0.0003158781269983167, ""spam"": 0.0003160176144844811}",en,,,0,LOW,ALLOW,true,false,false,
challenge_en_normal_03_short,en_normal_03,normal,en,controlled_short_form_challenge,synthetic_challenge,scenario_definition,short,71,Class schedule,"Tomorrow's lecture starts in room B204 at nine. This message follows our existing conversation and does not request a password, payment, or account action. Please read it when convenient and reply only if the schedule or factual details need correction. The referenced material remains in the usual shared location used by the team. This message follows our existing conversation and does not request a password, payment, or account action.","Class schedule
Tomorrow's lecture starts in room B204 at nine. This message follows our existing conversation and does not request a password, payment, or account action. Please read it when convenient and reply only if the schedule or factual details need correction. The referenced material remains in the usual shared location used by the team. This message follows our existing conversation and does not request a password, payment, or account action.",660b0177cea6fb5edb3f97bd07f17228c1f5a95f933df018987c0d3fa64ffc3a,660b0177cea6fb5edb3f97bd07f17228c1f5a95f933df018987c0d3fa64ffc3a,normal,0.7529377207,"{""normal"": 0.7529377207333505, ""phishing"": 0.24688907087932602, ""spam"": 0.0001732083873233769}",en,,,11,LOW,ALLOW,true,false,false,
challenge_en_normal_03_normal_length,en_normal_03,normal,en,controlled_short_form_challenge,synthetic_challenge,scenario_definition,normal_length,176,Class schedule,"Tomorrow's lecture starts in room B204 at nine. This message follows our existing conversation and does not request a password, payment, or account action. Please read it when convenient and reply only if the schedule or factual details need correction. The referenced material remains in the usual shared location used by the team. No external sign-in page is needed, and there is no deadline beyond the ordinary project schedule. The sender is providing routine operational context so recipients can keep their records current. This message follows our existing conversation and does not request a password, payment, or account action. Please read it when convenient and reply only if the schedule or factual details need correction. The referenced material remains in the usual shared location used by the team. No external sign-in page is needed, and there is no deadline beyond the ordinary project schedule. The sender is providing routine operational context so recipients can keep their records current. This message follows our existing conversation and does not request a password, payment, or account action.","Class schedule
Tomorrow's lecture starts in room B204 at nine. This message follows our existing conversation and does not request a password, payment, or account action. Please read it when convenient and reply only if the schedule or factual details need correction. The referenced material remains in the usual shared location used by the team. No external sign-in page is needed, and there is no deadline beyond the ordinary project schedule. The sender is providing routine operational context so recipients can keep their records current. This message follows our existing conversation and does not request a password, payment, or account action. Please read it when convenient and reply only if the schedule or factual details need correction. The referenced material remains in the usual shared location used by the team. No external sign-in page is needed, and there is no deadline beyond the ordinary project schedule. The sender is providing routine operational context so recipients can keep their records current. This message follows our existing conversation and does not request a password, payment, or account action.",c97087bc2da893a9285e5de1670bc6f467eb6fe6d7b4e87b30e3c0e39635f047,c97087bc2da893a9285e5de1670bc6f467eb6fe6d7b4e87b30e3c0e39635f047,normal,0.6557429686,"{""normal"": 0.6557429685522049, ""phishing"": 0.3439711770618605, ""spam"": 0.00028585438593447605}",en,,,15,LOW,ALLOW,true,false,false,
challenge_en_normal_04_very_short,en_normal_04,normal,en,controlled_short_form_challenge,synthetic_challenge,scenario_definition,very_short,11,Project notes,I added the approved edits to the shared document.,"Project notes
I added the approved edits to the shared document.",57a72344b8dfc8bb199745ed649b2cd19f9513aeba5bcc20976f6fd9aef61f62,57a72344b8dfc8bb199745ed649b2cd19f9513aeba5bcc20976f6fd9aef61f62,normal,0.9940259938,"{""normal"": 0.9940259937795102, ""phishing"": 0.005940867780635078, ""spam"": 3.3138439854708924e-05}",en,,,0,LOW,ALLOW,true,false,false,
