id,source,parent_id,translation_source_id,subject,body_excerpt,raw_label,linked_parent_label,linked_parent_source,linked_parent_label_provenance,linked_parent_confidence,parent_link_status,evidence_group,triggered_rules,proposed_label,proposal_confidence,human_decision,human_note,label_provenance
data_vi:570,data_vi,,,,Chủ thể: . jif .,1,,,,,,ambiguous,,exclude,high,,,excluded_low_information_content
data_vi:1041,data_vi,,,,"Chủ đề: các giao dịch trái phép trên tài khoản của bạn sẽ cập nhật tài khoản của bạn. Chúng tôi rất tiếc phải thông báo với bạn rằng tài khoản của bạn tại eBay có thể bị đình chỉ nếu bạn không cập nhật thông tin thanh toán của mình. để giải quyết vấn đề này, vui lòng nhấp vào đây và đăng nhập vào tài khoản của bạn để giải quyết quá trình cập nhật. nếu thông tin tài khoản của bạn không được cập nhật, khả năng truy cập ebay của bạn sẽ bị hạn chế. Theo thỏa thuận người dùng, chúng tôi có thể đưa ra",1,,,,,,account_impersonation,product_service_solicitation;promotional_call_to_action;password_or_login;account_verification;account_suspension;organization_impersonation,phishing,medium,,,translated_dataset_mixed_positive
data_vi:1107,data_vi,,,,"Chủ đề: khôi phục hỗ trợ bảo mật truy cập của bạn Chúng tôi nhận thấy rằng thông tin tài khoản của bạn cần phải được cập nhật như một phần trong cam kết liên tục của chúng tôi nhằm bảo vệ tài khoản của bạn và giảm trường hợp gian lận trên trang web của chúng tôi. chỉ cần cập nhật hồ sơ cá nhân của bạn và bạn sẽ không gặp phải bất kỳ vấn đề nào trong tương lai với dịch vụ trực tuyến. tuy nhiên , không cập nhật hồ sơ của bạn cho đến tháng bảy . Ngày 21/05/2005 tài khoản của bạn được coi là bị đình",1,,,,,,account_impersonation,marketing_language;product_service_solicitation;password_or_login;account_verification;account_suspension;organization_impersonation,phishing,medium,,,translated_dataset_mixed_positive
data_vi:1138,data_vi,,,,"Chủ đề: cảnh báo bảo mật - xác nhận thông tin ebay của bạn đình chỉ ebay cần trợ giúp? Kính gửi thành viên eBay, chúng tôi rất tiếc phải thông báo với bạn rằng tài khoản eBay của bạn đã bị đình chỉ do chúng tôi lo ngại về sự an toàn và liêm chính của cộng đồng eBay. theo thỏa thuận người dùng, phần 9, chúng tôi có thể đưa ra cảnh báo ngay lập tức, tạm thời đình chỉ, đình chỉ hoặc chấm dứt tư cách thành viên vô thời hạn và từ chối cung cấp dịch vụ của chúng tôi cho bạn nếu chúng tôi tin rằng hành",1,,,,,,account_impersonation,product_service_solicitation;account_verification;account_suspension;organization_impersonation,phishing,medium,,,translated_dataset_mixed_positive
data_vi:1176,data_vi,,,,"Chủ đề: đánh giá tài khoản paypal r thành viên paypal có giá trị thân mến: paypal cam kết duy trì một môi trường an toàn cho cộng đồng người mua và người bán của mình. Để bảo vệ tính bảo mật cho tài khoản của bạn, paypal sử dụng một số hệ thống bảo mật tiên tiến nhất trên thế giới và các nhóm chống gian lận của chúng tôi thường xuyên sàng lọc hệ thống paypal để phát hiện hoạt động bất thường. gần đây , nhóm xem xét tài khoản của chúng tôi đã xác định được một số hoạt động bất thường trong tài kh",1,,,,,,account_impersonation,commercial_offer;password_or_login;account_suspension;organization_impersonation,phishing,medium,,,translated_dataset_mixed_positive
data_vi:1191,data_vi,,,,"Chủ đề: lời chào từ bạn. Một . Xin chào bạn thân mến, trước khi tự giới thiệu, tôi muốn thông báo với bạn rằng lá thư này không phải là một lá thư lừa bịp và tôi mong bạn hãy xem nó một cách nghiêm túc. Tôi là giám đốc bộ phận mua sắm của Bộ dầu mỏ và tài nguyên khoáng sản ở Các Tiểu vương quốc Ả Rập Thống nhất. tôi đã nhận được email của bạn trong khi tìm kiếm một người đáng tin cậy, người có thể hỗ trợ tôi nhận chuyển khoản tiền được cho là hợp đồng. nguồn vốn này là kết quả của số tiền trao h",1,,,,,,account_impersonation,commercial_offer;urgent_security_action;organization_impersonation;financial_information_request,phishing,medium,,,translated_dataset_mixed_positive
data_vi:120,data_vi,,,,"Chủ đề: thông báo từ Sky Bank # 6521 - 320719 - 9595 - 6540595 người dùng Sky Online Banking, chúng tôi nhận thấy rất nhiều lần đăng nhập không thành công vào tài khoản ngân hàng trực tuyến Youe Sky. trong tình huống này , chúng tôi đã phải vô hiệu hóa quyền truy cập tài khoản của bạn . điều đó có nghĩa là chúng tôi đã chặn mọi quyền truy cập của tôi vào tài khoản trực tuyến của bạn. để bỏ chặn tài khoản của bạn, vui lòng nhấp vào đây hoặc nhấp vào liên kết và hoàn tất quy trình xác minh cũng nh",1,,,,,,account_impersonation,promotional_call_to_action;password_or_login;account_verification;account_suspension;urgent_security_action;organization_impersonation;financial_information_request,phishing,medium,,,translated_dataset_mixed_positive
data_vi:1299,data_vi,,,,"Chủ đề: thông báo của ebay - tài khoản ebay của bạn đã bị đánh cắp! cập nhật thông tin tài khoản của bạn trong vòng 24 giờ, thành viên ebay có giá trị, theo chính sách trang web của chúng tôi, bạn sẽ phải xác nhận rằng bạn là chủ sở hữu thực sự của tài khoản ebay bằng cách hoàn thành biểu mẫu sau nếu không tài khoản của bạn sẽ bị đình chỉ trong vòng 24 giờ để điều tra. không bao giờ chia sẻ mật khẩu ebay của bạn cho bất cứ ai! thiết lập bằng chứng nhận dạng của bạn bằng xác minh id (miễn phí) - ",1,,,,,,account_impersonation,product_service_solicitation;promotional_call_to_action;password_or_login;account_suspension;organization_impersonation,phishing,medium,,,translated_dataset_mixed_positive
data_vi:16,data_vi,,,,"Chủ đề: thông báo fpa: trình bày sai danh tính của ebay - đình chỉ người dùng - phần 9 - thành viên ebay thân mến, trong nỗ lực bảo vệ an ninh tài khoản ebay của bạn, chúng tôi đã đình chỉ tài khoản của bạn cho đến khi tài khoản có thể được khôi phục an toàn cho bạn. chúng tôi đã thực hiện hành động này vì tài khoản của bạn có thể đã bị xâm phạm . mặc dù chúng tôi không thể tiết lộ các thủ tục điều tra dẫn đến kết luận này nhưng xin lưu ý rằng chúng tôi thực hiện hành động này để duy trì sự an t",1,,,,,,account_impersonation,account_suspension;organization_impersonation,phishing,medium,,,translated_dataset_mixed_positive
data_vi:179,data_vi,,,,"Chủ đề: không được phép truy cập thêm vào tài khoản của bạn, khách hàng thân mến của ngân hàng lasalle, email này nhằm thông báo cho bạn rằng chúng tôi phải chặn quyền truy cập tài khoản ngân hàng lasalle của bạn vì chúng tôi đã được thông báo rằng tài khoản của bạn có thể đã bị xâm phạm bởi các bên bên ngoài. các điều khoản và điều kiện của chúng tôi mà bạn đã đồng ý nêu rõ rằng tài khoản của bạn phải luôn nằm trong tầm kiểm soát của bạn hoặc những tài khoản mà bạn chỉ định vào mọi lúc . chúng ",1,,,,,,account_impersonation,account_verification;organization_impersonation;financial_information_request,phishing,medium,,,translated_dataset_mixed_positive
